id,title,release_date,overview,rating,poster_url,genres,cast,directors,sentiment_category,age_rating
777443,The Electric State,2025-03-07,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",6.8,https://image.tmdb.org/t/p/w500/jRdxyW5ZmhD3ycStlb7gwOewTuE.jpg,"Family, Fantasy","Rachel Zegler, Gal Gadot, Andrew Burnap, Jeremy Swift, Jason Kravits",Marc Webb,Neutral,PG-13
447273,Snow White,2025-03-19,"A princess joins forces with seven dwarfs to liberate her kingdom from her cruel stepmother, the Evil Queen.",3.3,https://image.tmdb.org/t/p/w500/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,"Drama, Science Fiction","Vincent Cassel, Diane Kruger, Guy Pearce, Sandrine Holt, Elizabeth Saunders",David Cronenberg,Negative,PG-13
1437446,The Twister: Caught in the Storm,2025-03-18,"In May 2011, a massive tornado ripped through Joplin, Missouri. With pulse-pounding firsthand footage, this documentary goes inside a deadly twister.",0.0,https://image.tmdb.org/t/p/w500/ggXb37lX9gW4SR7kpMaraXDFeFR.jpg,Drama,"Marina Foïs, Théo Christine, Mathieu Demy, Mikaël Blameble, Genny Dagnet",Cyprien Vial,Negative,PG-13
1204967,USAH: Uncommon Stories of American Horror,2025-03-18,"27 real-life stories of American horror are told by a mysterious narrator, who draws inspiration from some famous paintings of American art displayed in an ancient abbey.",0.0,https://image.tmdb.org/t/p/w500/FDGnXfWwRJETNa0TP4xq2Sjt5k.jpg,"Comedy, Drama","Dominique Reymond, Michel Blanc, William Lebghil, Aurélien Gabrielli, Liliane Rovère",Lionel Baier,Positive,R (Restricted)
675776,Persona,2025-03-18,An Actress finds herself in a complex puzzle of Personas when someone unexpected arrives to take her place.,0.0,https://image.tmdb.org/t/p/w500None,Documentary,Unknown,Vincent Rannou,Negative,PG-13
696506,Mickey 17,2025-02-28,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",6.98,https://image.tmdb.org/t/p/w500/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,"Drama, Comedy","Jonathan Cohen, Leïla Bekhti, Anne Le Ny, Sylvie Vartan, Milo Machado-Graner",Ken Scott,Negative,PG-13
1437920,Centered: Joe Lieberman,2025-03-18,"In a time of deep political division, Centered: Joe Lieberman chronicles the remarkable career of Joe Lieberman, a principled and bipartisan politician who navigated the tumultuous world of American politics with unwavering integrity, offering timely lessons on the power of collaboration and leadership beyond party lines.",7.833,https://image.tmdb.org/t/p/w500/pGeRaZEmOo46DhgRePw4uAUSnkJ.jpg,Comedy,"Vincent Dubois, Jean-Christian Fraiscinet, Léo Marty, Guillaume Clérice, Kamel Abdeli",Frédéric Forestier,Positive,PG-13
1437701,Leaving Neverland 2: Surviving Michael Jackson,2025-03-18,"Explores the personal toll on James Safechuck and Wade Robson after they went public with accusations against pop icon Michael Jackson. The two men continue to seek justice as they face backlash from his global army of fans. With exclusive access to court hearings, the film shows the extent to which the Jackson estate has fought to prevent Robson and Safechuck from having their day in court.",5.25,https://image.tmdb.org/t/p/w500/wPmKY6KaLj3PEPoDuy0tAX4MKYs.jpg,"Comedy, Romance, Drama","David Collins, Will Rodriguez, Olivia Vasquez, Joey Vieira, Wale Ojo","Michela Carattini, Maria Isabel Delaossa",Neutral,PG-13
1417181,Dawn of Impressionism: Paris 1874,2025-03-18,"The Impressionists are the most popular group in art history – millions flock every year to marvel at their masterpieces. But, to begin with, they were scorned, penniless outsiders. 1874 was the year that changed everything; the first Impressionists, “hungry for independence”, broke the mould by holding their own exhibition outside official channels. Impressionism was born and the art world was changed forever.  What led to that first groundbreaking show 150 years ago? Who were the maverick personalities that wielded their brushes in such a radical and provocative way? The spectacular Musée d’Orsay exhibition brings fresh eyes to this extraordinary tale of passion and rebellion. The story is told not by historians and curators but in the words of those who witnessed the dawn of Impressionism: the artists, press and people of Paris, 1874.",4.0,https://image.tmdb.org/t/p/w500/lSU85MrxOtlrvtiRlI9GTPBGiwK.jpg,Documentary,Unknown,Emil Nørgaard Munk,Positive,PG-13
1439804,Spider in the Cupboard,2025-03-18,"SMILE, YOU'RE ON CAMERA... Jen is a crisis hotline volunteer, using the service to cope with losing her sister at a young age. Little does she know, a former caller has beensecretly living in her apartment, recording her every move with a home video camera. Jen is sent into a spiral by thecombination ofJohn Doe's subtle maniuplations and the apathy of Jen's loved ones, namely Harry.",4.0,https://image.tmdb.org/t/p/w500/9lKBcNmWdSbODDuF6TBO6UZvAyL.jpg,Documentary,Unknown,Jesper Heine Grand,Positive,PG-13
