id,title,release_date,overview,rating,poster_url,genres,cast,directors
447273,Snow White,2025-03-19,"A princess joins forces with seven dwarfs to liberate her kingdom from her cruel stepmother, the Evil Queen.",4.018,https://image.tmdb.org/t/p/w500/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,"Family, Fantasy","Rachel Zegler, Gal Gadot, Andrew Burnap, Jeremy Swift, Jason Kravits",Marc Webb
970947,The Shrouds,2025-03-20,"Inconsolable since the death of his wife, Karsh, a prominent businessman, invents a revolutionary and controversial technology that enables the living to monitor their dear departed in their shrouds. One night, multiple graves, including that of Karsh’s wife, are desecrated, and he sets out to track down the perpetrators.",7.7,https://image.tmdb.org/t/p/w500/2drOuzftQlkhsuHRPUaARmzCGQP.jpg,"Drama, Science Fiction","Vincent Cassel, Diane Kruger, Guy Pearce, Sandrine Holt, Elizabeth Saunders",David Cronenberg
1149463,Magma,2025-03-19,"Katia Reiter directs the Guadeloupe Volcano Observatory. A passionate volcanologist,  she’s waved goodbye to the idea of one day fulfilling her professional dream of managing a major eruption. But she hadn’t appreciated the unpredictable nature of the Soufrière... or of young volcanologist Aimé Lubin.",5.5,https://image.tmdb.org/t/p/w500/gblm8Nip5NSDL8BK6mjuQB6xY8e.jpg,Drama,"Marina Foïs, Théo Christine, Mathieu Demy, Mikaël Blameble, Genny Dagnet",Cyprien Vial
1266809,The Safe House,2025-03-19,"An eccentric family portrait set during the May 1968 protests in Paris. A nine-year-old boy stays with his grandparents and uncles while his parents protest. When an illustrious guest seeks refuge in the apartment, the family’s dynamics change.",6.3,https://image.tmdb.org/t/p/w500/r9xf19feljoQSQrTFmcrikID4Kq.jpg,"Comedy, Drama","Dominique Reymond, Michel Blanc, William Lebghil, Aurélien Gabrielli, Liliane Rovère",Lionel Baier
1328767,Argoat,2025-03-19,,8.0,https://image.tmdb.org/t/p/w500/A5Ct2Ndped8jMpltMtPUxnBARvH.jpg,Documentary,Unknown,Vincent Rannou
1107215,"My Mom, God and Sylvie Vartan",2025-03-19,"In 1963, Esther gives birth to Roland, the youngest of a large family. Roland is born with a club foot that prevents him from standing. Against everyone's advice, she promises her son that he will walk like the others and that he will have a fabulous life. From then on, Esther will do everything in her power to keep this promise. Through decades of trials and miracles of life, this film is the story of a true, funny and moving story, that of an incredible destiny and the greatest love there is: that of a mother for her child.",5.6,https://image.tmdb.org/t/p/w500/sIYUhbkjgedkYuiQ9MW3fzyc7Gf.jpg,"Drama, Comedy","Jonathan Cohen, Leïla Bekhti, Anne Le Ny, Sylvie Vartan, Milo Machado-Graner",Ken Scott
1235619,Les Bodin’s partent en vrille,2025-03-19,,8.0,https://image.tmdb.org/t/p/w500/tRuZUbucePOXsBgkGB5oSTzTYzi.jpg,Comedy,"Vincent Dubois, Jean-Christian Fraiscinet, Léo Marty, Guillaume Clérice, Kamel Abdeli",Frédéric Forestier
1432534,Carmen & Bolude,2025-03-19,"Best friends Carmen and Bolude must travel from NYC to Sydney, Australia, where they have ten days to collect 100 'welcomes' so that Bolude's traditional Nigerian father will agree to let her marry an Australian.",6.0,https://image.tmdb.org/t/p/w500/tsWstW00hFHNaRxqROaJd7VDiXp.jpg,"Comedy, Romance, Drama","David Collins, Will Rodriguez, Olivia Vasquez, Joey Vieira, Wale Ojo","Michela Carattini, Maria Isabel Delaossa"
1425366,Witch,2025-03-19,"Danish author and self-proclaimed witch Andrea Hejlskov invites us into her personal universe of divination, spirituality and nature motifs from Nordic mythology. After 10 years in the wilderness, she finds herself in the middle of the crisis of her life.",0.0,https://image.tmdb.org/t/p/w500/2yJbK0JqsNLXVHkW6qKUrDr0I9j.jpg,Documentary,Unknown,Emil Nørgaard Munk
1441967,The Ox Road,2025-03-19,"Prince Joachim and author Steffen Jacobsen are on a hike through Jutland, bringing with them their own life stories. A beautiful nature film with a words of wisdom along the way.",7.2,https://image.tmdb.org/t/p/w500None,Documentary,Unknown,Jesper Heine Grand
1000881,Dead Man's Boots,2025-03-19,"One evening, Prosper, a loser Uber driver who still lives with his mother, picks up a dying man who has just been shot. Freaked out, Prosper gets rid of the body but not before stealing his pair of crocodile boots. As he slips them on, Prosper finds himself inhabited by the spirit of the deceased: King - a respected gangster feared by all. Split between these two opposing personalities, Prosper and King, united in one body, investigate to unmask King's killer.",6.5,https://image.tmdb.org/t/p/w500/jh2jVf6L1REXcvvlGdqwFoYGdqE.jpg,"Comedy, Fantasy","Jean-Pascal Zadi, Jessy Salomée Ugolin, Cindy Bruna, Mamadou Minte, Ralph Amoussou",Yohann Gloaguen
1439004,L'échappée belle,2025-03-19,,0.0,https://image.tmdb.org/t/p/w500/3DWbq68yv17gqQsTHEm8YMJRfOj.jpg,Drama,"Astrid Adverbe, Dimitra Kontou, Mariana Giani, Miguel Escudero, Jeanne La Fonta",Pamela Varela
1018964,I Saw Three Black Lights,2025-03-19,"A wise old man embarks on his final journey, entering the Colombian jungle to find a place to die. But the paramilitary soldiers who control the area endanger his peaceful transition to the realm of the dead.",0.0,https://image.tmdb.org/t/p/w500/uslJnaz5cOdPvdsvMr7o2ZpMwBL.jpg,Drama,"Jesús María Mina, Julián Ramírez, Carol Hurtado, John Alex Castillo",Santiago Lozano Álvarez
1393191,"The Gardener, the Buddhist & the Spy",2025-03-19,"The Gardener, the Buddhist & the Spy is a gripping story about power struggle, failure, and the delicate balance between good and bad.",0.0,https://image.tmdb.org/t/p/w500/nPGbKjARq6g1ely913ZugBfzxhC.jpg,Documentary,Unknown,Håvard Bustnes
